Date,Ticker,AssetClass,Adjusted_close,Close,Country,High,Low,Open,Volume,amihud_illiquidity,de_slope_proxy,global_yc_level,high_low_spread_22d,is_tradable,jp_slope_proxy,log_return_1d,log_return_1d_raw,log_return_20d,log_return_20d_raw,log_return_5d,log_return_5d_raw,mom_12m,mom_3m,mom_6m,price_to_52w_high,rolling_median_dollar_vol,rolling_median_price,rolling_zero_vol_frac,spread_us_de_slope,spread_us_jp_slope,spread_us_uk_slope,target_fwd,uk_slope_proxy,vol_10d,vol_22d,vol_60d,volume_ratio,yc_level,yc_slope,yc_slope_zscore
2000-08-23,CRUDE_OIL_commodity,commodity,,32.05,,32.8,31.95,31.95,79385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-24,CRUDE_OIL_commodity,commodity,,31.63,,32.24,31.4,31.9,72978.0,,,,,,,-0.013191149,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-25,CRUDE_OIL_commodity,commodity,,32.05,,32.1,31.32,31.7,44601.0,,,,,,,0.013191149,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-28,CRUDE_OIL_commodity,commodity,,32.87,,32.92,31.86,32.04,46770.0,,,,,,,0.025263196,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-29,CRUDE_OIL_commodity,commodity,,32.72,,33.03,32.56,32.82,49131.0,,,,,,,-0.004573806,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-30,CRUDE_OIL_commodity,commodity,,33.4,,33.4,32.1,32.75,79214.0,,,,,,,0.020569397,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-31,CRUDE_OIL_commodity,commodity,,33.1,,33.7,32.97,33.25,56895.0,,,,,,,-0.009022709,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,CRUDE_OIL_commodity,commodity,,33.38,,33.45,32.75,33.05,45869.0,,,,,,,0.008423714,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-05,CRUDE_OIL_commodity,commodity,,33.8,,33.99,33.42,33.95,55722.0,,,,,,,0.01250383,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-06,CRUDE_OIL_commodity,commodity,,34.95,,34.95,33.83,33.99,74692.0,,,,,,,0.03345771,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-07,CRUDE_OIL_commodity,commodity,,35.33,,35.5,34.45,34.5,74105.0,,,,,,,0.010814022,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-08,CRUDE_OIL_commodity,commodity,,33.7,,34.78,33.4,34.55,88415.0,,,,,,,-0.047234654,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-11,CRUDE_OIL_commodity,commodity,,35.1,,35.85,33.75,33.8,101518.0,,,,,,,0.040703226,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-12,CRUDE_OIL_commodity,commodity,,34.2,,35.5,34.1,35.45,91911.0,,,,,,,-0.025975421,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-13,CRUDE_OIL_commodity,commodity,,33.8,,34.74,33.5,34.0,94630.0,,,,,,,-0.011764887,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-14,CRUDE_OIL_commodity,commodity,,34.1,,34.5,33.12,33.78,98068.0,,,,,,,0.00883656,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-15,CRUDE_OIL_commodity,commodity,,35.85,,36.1,34.45,34.5,85839.0,,,,,,,0.050046183,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-18,CRUDE_OIL_commodity,commodity,,36.88,,37.15,36.15,36.2,59663.0,,,,,,,0.028325902,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-19,CRUDE_OIL_commodity,commodity,,36.5,,37.0,36.15,36.55,62731.0,,,,,,,-0.010357167,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-20,CRUDE_OIL_commodity,commodity,,37.5,,37.8,36.5,37.5,119080.0,,,,,,,0.027028672,,,,,,,,,,,,,,,,,,,,,,,,
